Date : 2025-07-12 20:46:10
Directory : d:\codes\RAM\ISSPA\src\car_code
Total : 125 files,  6247 codes, 752 comments, 1003 blanks, all 8002 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\codes\RAM\ISSPA\src\car_code\car_nav\launch\cartographer_launch.py                                                 | Python     |         54 |          0 |          9 |         63 |
| d:\codes\RAM\ISSPA\src\car_code\car_nav\launch\display_map_launch.py                                                  | Python     |         23 |          0 |          6 |         29 |
| d:\codes\RAM\ISSPA\src\car_code\car_nav\launch\display_nav_launch.py                                                  | Python     |         23 |          0 |          6 |         29 |
| d:\codes\RAM\ISSPA\src\car_code\car_nav\launch\display_rtabmap_map_launch.py                                          | Python     |         23 |          0 |          6 |         29 |
| d:\codes\RAM\ISSPA\src\car_code\car_nav\launch\display_rtabmap_nav_launch.py                                          | Python     |         23 |          0 |          6 |         29 |
| d:\codes\RAM\ISSPA\src\car_code\car_nav\launch\laser_bringup_launch.py                                                | Python     |         65 |          1 |          6 |         72 |
| d:\codes\RAM\ISSPA\src\car_code\car_nav\launch\map_cartographer_launch.py                                             | Python     |         14 |          0 |          5 |         19 |
| d:\codes\RAM\ISSPA\src\car_code\car_nav\launch\map_gmapping_4ros_s2_launch.py                                         | Python     |         27 |          1 |          5 |         33 |
| d:\codes\RAM\ISSPA\src\car_code\car_nav\launch\map_gmapping_a1_launch.py                                              | Python     |         16 |          0 |          6 |         22 |
| d:\codes\RAM\ISSPA\src\car_code\car_nav\launch\map_gmapping_launch.py                                                 | Python     |         34 |          0 |          5 |         39 |
| d:\codes\RAM\ISSPA\src\car_code\car_nav\launch\map_rtabmap_launch.py                                                  | Python     |         14 |          0 |          5 |         19 |
| d:\codes\RAM\ISSPA\src\car_code\car_nav\launch\navigation_dwa_launch.py                                               | Python     |         31 |          0 |          6 |         37 |
| d:\codes\RAM\ISSPA\src\car_code\car_nav\launch\navigation_rtabmap_launch.py                                           | Python     |         21 |          0 |          6 |         27 |
| d:\codes\RAM\ISSPA\src\car_code\car_nav\launch\navigation_teb_launch.py                                               | Python     |         31 |          0 |          6 |         37 |
| d:\codes\RAM\ISSPA\src\car_code\car_nav\launch\occupancy_grid_launch.py                                               | Python     |         29 |          0 |          6 |         35 |
| d:\codes\RAM\ISSPA\src\car_code\car_nav\launch\rtabmap_localization_launch.py                                         | Python     |         66 |          5 |         16 |         87 |
| d:\codes\RAM\ISSPA\src\car_code\car_nav\launch\rtabmap_nav_launch.py                                                  | Python     |         31 |          0 |          6 |         37 |
| d:\codes\RAM\ISSPA\src\car_code\car_nav\launch\rtabmap_sync_launch.py                                                 | Python     |         66 |         13 |         17 |         96 |
| d:\codes\RAM\ISSPA\src\car_code\car_nav\launch\rtabmap_viz_launch.py                                                  | Python     |         40 |          2 |         10 |         52 |
| d:\codes\RAM\ISSPA\src\car_code\car_nav\launch\save_map_launch.py                                                     | Python     |         26 |         13 |          8 |         47 |
| d:\codes\RAM\ISSPA\src\car_code\car_nav\maps\yahboomcar.yaml                                                          | YAML       |          7 |          0 |          0 |          7 |
| d:\codes\RAM\ISSPA\src\car_code\car_nav\maps\yahboomcar2.yaml                                                         | YAML       |          7 |          0 |          0 |          7 |
| d:\codes\RAM\ISSPA\src\car_code\car_nav\package.xml                                                                   | XML        |         19 |          0 |          4 |         23 |
| d:\codes\RAM\ISSPA\src\car_code\car_nav\params\dwa_nav_params.yaml                                                    | YAML       |        246 |         12 |         16 |        274 |
| d:\codes\RAM\ISSPA\src\car_code\car_nav\params\lds_2d.lua                                                             | Lua        |         38 |          1 |          7 |         46 |
